[[88.74670923]],[[29.09999176]],[[-51.95115391]]
[[114.18360159]],[[-1.30179732]],[[-2.51598305]]
[[86.75360384]],[[-2.30716189]],[[162.38603787]]
[[-221.37114178]],[[371.30931209]],[[942.48446856]]
[[110.17472751]],[[-7.180782]],[[-5.21011569]]
[[285.18331442]],[[-1448.23486694]],[[-680.46855187]]
[[-1491487.05705029]],[[-2862000.55857214]],[[-2547675.51387516]]
[[155.53839042]],[[163.59612774]],[[-351.71349359]]
[[247.87017681]],[[-27.42764753]],[[-67.03202274]]
[[135.28822415]],[[61.47542007]],[[-244.59488615]]
[[71.12313282]],[[-0.34186063]],[[-77.17220469]]
[[118.10152984]],[[103.54941525]],[[-36.59807387]]
[[117.15281516]],[[3.64158724]],[[2.32718702]]
[[4.15646585]],[[0.71959979]],[[10.02222698]]
[[140.45236822]],[[8.48599803]],[[5.05051373]]
[[113.89530923]],[[0.69565161]],[[-2.00668938]]
[[127.264429]],[[-3.91969843]],[[9.01496704]]
[[124.416336]],[[-2.86586428]],[[1.38237838]]
[[122.73474782]],[[-0.57679221]],[[1.71633904]]
[[121.29929291]],[[4.82340421]],[[3.83075382]]
[[118.88286976]],[[6.73419046]],[[2.21449106]]
[[114.17876214]],[[2.47527901]],[[7.19223612]]
[[122.29298443]],[[0.18670773]],[[1.82504627]]
[[119.40957445]],[[1.45731348]],[[-0.61938913]]
[[112.23562611]],[[14.60155107]],[[0.51581513]]
[[112.3266785]],[[10.33478584]],[[-2.0708705]]
[[62.72707381]],[[4.3382993]],[[-80.76024014]]
[[115.451513]],[[11.01395666]],[[-12.07847455]]
[[109.15467092]],[[-8.25252778]],[[4.78345452]]
[[95.2601651]],[[67.85212202]],[[-21.94665276]]
[[4.60316014]],[[4.2065694]],[[-6.90730606]]
[[114.59635975]],[[3.59829118]],[[-3.93807868]]
[[118.68236938]],[[1.36715769]],[[1.70765397]]
[[-15.4896073]],[[1.46083305]],[[0.72048684]]
[[116.49437994]],[[3.03650122]],[[-2.1427687]]
[[117.67720065]],[[-3.99560243]],[[4.73697267]]
[[115.68142446]],[[-2.35259569]],[[6.44050793]]
[[117.26871497]],[[1.6774508]],[[1.99645582]]
[[113.00465502]],[[-7.17076737]],[[3.01864036]]
[[114.04401682]],[[4.47484467]],[[1.22474251]]
[[112.46194244]],[[-11.34146573]],[[7.50744953]]
[[110.63226832]],[[-9.69025079]],[[11.40648508]]
[[121.69988468]],[[-0.25516275]],[[5.05288476]]
[[131.5049997]],[[-8.93604044]],[[18.7048301]]
[[118.362379]],[[-4.05758149]],[[2.74686971]]
[[116.97040741]],[[-3.74411986]],[[0.49970347]]
[[117.15334352]],[[-1.43288563]],[[-0.50983954]]
[[125.66841028]],[[-1.0807262]],[[9.80141428]]
[[123.78239689]],[[0.8241467]],[[1.30645317]]
[[121.98636967]],[[-0.45488973]],[[2.80941824]]
[[121.69276848]],[[-0.78466141]],[[2.2816698]]
[[0.39235758]],[[-1.54199481]],[[-0.37314579]]
